Artist,Genre,Energy,Main_Instrument,Prompt,Age_Group
Lumen Riot,Alternative Rock,0.82,Guitar,"ultra realistic close-up portrait of an older male alternative rock musician, neutral expression, looking at camera, natural skin texture, visible pores, realistic imperfections, slightly messy medium-length hair, casual worn t-shirt, 85mm lens, shallow depth of field, soft studio lighting, photorealistic, no illustration, no painting, no CGI",Older
Arlo Kain,Art Rock,0.65,Vocals / Guitar,"ultra realistic close-up portrait of an older male art rock musician, neutral expression, looking at camera, long angular face, short styled hair, oversized grey suit, natural skin texture, visible pores, realistic imperfections, 85mm lens, soft cinematic lighting, photorealistic",Older
Vira Nova,Alternative Pop,0.70,Vocals,"ultra realistic close-up portrait of a young female pop artist, neutral expression, looking at camera, soft facial features, expressive eyes, colorful wig, natural skin texture, visible pores, realistic imperfections, 85mm lens, soft studio lighting, photorealistic",Young
Noir Signal,Electronic / Dance,0.88,Synth / DJ,"ultra realistic close-up portrait of an older male electronic DJ, neutral expression, looking at camera, dark sunglasses, short hair, natural skin texture, visible pores, realistic imperfections, 85mm lens, neon club lighting, photorealistic",Older
Dust Canyon,Blues Rock,0.78,Guitar,"ultra realistic close-up portrait of an older male blues musician, neutral expression, looking at camera, long wavy hair, beard, natural skin texture, visible pores, realistic imperfections, 85mm lens, warm lighting, cinematic depth, photorealistic",Older
Mono Chrome,Garage Rock,0.90,Guitar,"ultra realistic close-up portrait of a middle-aged male garage rock musician, neutral expression, looking at camera, sharp jawline, short slick hair, natural skin texture, visible pores, realistic imperfections, 85mm lens, high contrast lighting, photorealistic",Middle-aged
Liora Vale,Indie Pop,0.68,Vocals,"ultra realistic close-up portrait of a young female indie pop singer, neutral expression, looking at camera, soft face, vintage sunglasses, natural skin texture, visible pores, realistic imperfections, 85mm lens, soft lighting, photorealistic",Young
Crimson Echo,Alternative Rock,0.75,Vocals,"ultra realistic close-up portrait of an older female rock singer, neutral expression, looking at camera, strong facial features, natural skin texture, visible pores, realistic imperfections, 85mm lens, dramatic lighting, photorealistic",Older
Bright Hollow,Indie Rock,0.80,Guitar,"ultra realistic close-up portrait of a middle-aged male indie musician, neutral expression, looking at camera, neat hair, clean look, natural skin texture, visible pores, realistic imperfections, 85mm lens, bright natural lighting, photorealistic",Middle-aged
Elias Storm,Britpop,0.72,Vocals / Guitar,"ultra realistic close-up portrait of an older male singer, neutral expression, looking at camera, medium hair, leather jacket, natural skin texture, visible pores, realistic imperfections, 85mm lens, moody lighting, photorealistic",Older
Orion Keys,Jazz / Soul,0.60,Piano,"ultra realistic close-up portrait of an older male jazz musician, neutral expression, looking at camera, expressive eyes, short curly hair, natural skin texture, visible pores, realistic imperfections, 85mm lens, warm stage lighting, photorealistic",Older
Zelka Tano,Electro Cumbia,0.85,Vocals,"ultra realistic close-up portrait of a middle-aged female performer, neutral expression, looking at camera, expressive face, colorful accessories, natural skin texture, visible pores, realistic imperfections, 85mm lens, vibrant lighting, photorealistic",Middle-aged
