Artist,Genre,Energy,Main_Instrument,Prompt,Age_Group,Tribe,Signature_Look
Lumen Riot,Alternative Rock,0.82,Guitar,"ultra realistic close-up portrait of an older male alternative rock musician, neutral expression, looking at camera, natural skin texture, visible pores, realistic imperfections, slightly messy medium-length hair, casual worn t-shirt, 85mm lens, shallow depth of field, soft studio lighting, photorealistic, no illustration, no painting, no CGI",Older,Los Salvajes, swag_hat
Arlo Kain,Art Rock,0.65,Vocals / Guitar,"ultra realistic close-up portrait of an older male art rock musician, neutral expression, looking at camera, long angular face, short styled hair, oversized grey suit, natural skin texture, visible pores, realistic imperfections, 85mm lens, soft cinematic lighting, photorealistic",Older,Los Soñadores, gray_hat
Vira Nova,Alternative Pop,0.70,Vocals,"ultra realistic close-up portrait of a young female pop artist, neutral expression, looking at camera, soft facial features, expressive eyes, colorful wig, natural skin texture, visible pores, realistic imperfections, 85mm lens, soft studio lighting, photorealistic",Young,Los Románticos, pink_glasses
Noir Signal,Electronic / Dance,0.88,Synth / DJ,"ultra realistic close-up portrait of an older male electronic DJ, neutral expression, looking at camera, dark sunglasses, short hair, natural skin texture, visible pores, realistic imperfections, 85mm lens, neon club lighting, photorealistic",Older,Los Soñadores, Dark_sunglasses
Dust Canyon,Blues Rock,0.78,Guitar,"ultra realistic close-up portrait of an older male blues musician, neutral expression, looking at camera, long wavy hair, beard, natural skin texture, visible pores, realistic imperfections, 85mm lens, warm lighting, cinematic depth, photorealistic",Older,Los Salvajes, neck_scarf
Mono Chrome,Garage Rock,0.90,Guitar,"ultra realistic close-up portrait of a middle-aged male garage rock musician, neutral expression, looking at camera, sharp jawline, short slick hair, natural skin texture, visible pores, realistic imperfections, 85mm lens, high contrast lighting, photorealistic",Middle-aged,Los Salvajes, cowboy_hat
Liora Vale,Indie Pop,0.68,Vocals,"ultra realistic close-up portrait of a young female indie pop singer, neutral expression, looking at camera, soft face, vintage sunglasses, natural skin texture, visible pores, realistic imperfections, 85mm lens, soft lighting, photorealistic",Young,Los Románticos, vintage_glasses
Crimson Echo,Alternative Rock,0.75,Vocals,"ultra realistic close-up portrait of an older female rock singer, neutral expression, looking at camera, strong facial features, natural skin texture, visible pores, realistic imperfections, 85mm lens, dramatic lighting, photorealistic",Older,Los Salvajes, guitarr_glasses
Bright Hollow,Indie Rock,0.80,Guitar,"ultra realistic close-up portrait of a middle-aged male indie musician, neutral expression, looking at camera, neat hair, clean look, natural skin texture, visible pores, realistic imperfections, 85mm lens, bright natural lighting, photorealistic",Middle-aged,Los Salvajes, rustic_necklace
Elias Storm,Britpop,0.72,Vocals / Guitar,"ultra realistic close-up portrait of an older male singer, neutral expression, looking at camera, medium hair, leather jacket, natural skin texture, visible pores, realistic imperfections, 85mm lens, moody lighting, photorealistic",Older,Los Salvajes, black_hat
Orion Keys,Jazz / Soul,0.60,Piano,"ultra realistic close-up portrait of an older male jazz musician, neutral expression, looking at camera, expressive eyes, short curly hair, natural skin texture, visible pores, realistic imperfections, 85mm lens, warm stage lighting, photorealistic",Older,Los Nómadas, rustic_necklace
Zelka Tano,Electro Cumbia,0.85,Vocals,"ultra realistic close-up portrait of a middle-aged female performer, neutral expression, looking at camera, expressive face, colorful accessories, natural skin texture, visible pores, realistic imperfections, 85mm lens, vibrant lighting, photorealistic",Middle-aged,Los Nómadas, neck_scarf
Kael Vorn,Pop / World Music,0.77,Vocals,"ultra realistic close-up portrait of an older male pop singer, neutral expression, looking at camera, short hair, confident look, natural skin texture, visible pores, realistic imperfections, 85mm lens, bright lighting, photorealistic",Older,Los Nómadas, eccentric_hat
Mira Solis,Pop,0.66,Vocals,"ultra realistic close-up portrait of a young female pop singer, neutral expression, looking at camera, soft face, relaxed look, natural skin texture, visible pores, realistic imperfections, 85mm lens, soft lighting, photorealistic",Young,Los Románticos, streetware_hat
Taro Vale,Jazz / Afrobeat,0.74,Drums,"ultra realistic close-up portrait of a young male musician, neutral expression, looking at camera, dark skin tone, short hair, natural skin texture, visible pores, realistic imperfections, 85mm lens, studio lighting, photorealistic",Young,Los Nómadas, swag_hat
Aqua Lume,Electronic,0.62,Synth,"ultra realistic close-up portrait of a young female electronic artist, neutral expression, looking at camera, tropical aesthetic, natural skin texture, visible pores, realistic imperfections, 85mm lens, soft lighting, photorealistic",Young,Los Soñadores, colorful_necklace
Nox Arden,Indie Pop,0.64,Vocals,"ultra realistic close-up portrait of a young male indie artist, neutral expression, looking at camera, clean look, minimalist fashion, natural skin texture, visible pores, realistic imperfections, 85mm lens, neutral lighting, photorealistic",Young,La Calle, cowboy_hat
Rex Volta,Techno Brass,0.86,Brass,"ultra realistic close-up portrait of a young male performer, neutral expression, looking at camera, strong features, natural skin texture, visible pores, realistic imperfections, 85mm lens, dramatic lighting, photorealistic",Mixed,Los Soñadores, techno_glasses
