Artist,Mood_emoji,Instrument,Era,Real_Artist,Genre,Energy,Main_Instrument
axel noir,sad,violin,medieval,Ultraligera,Indie Rock,0.68,Guitar
vira nova,happy,piano,90s,Halsey,Alternative Pop,0.7,Vocals
dax nova,sad,trumpet,medieval,Doctor Prats,Pop Reggae Fusion,0.77,Guitar
vex orion,happy,piano,medieval,Chico Blanco,Electronic,0.79,DJ
nyra kade,chill,bass,2010s,Sampa the Great,Hip Hop / Soul,0.73,Vocals
elara venn,chill,trumpet,2010s,Judeline,Pop,0.61,Vocals
kiro blaze,happy,synth,futuristic,Lildami,Urban Hip Hop,0.74,Vocals
eden bloom,sad,dj,70s,Al·lèrgiques al Pol·len,Indie Pop,0.64,Guitar
viko ray,happy,synth,2000s,Ginebras,Indie Pop,0.75,Guitar
eira flux,happy,synth,classical,Zahara,Indie Pop,0.58,Vocals
taro vale,angry,drums,2000s,Ezra Collective,Jazz / Afrobeat,0.74,Drums
noir signal,sad,guitar,70s,Faithless,Electronic / Dance,0.88,Synth / DJ
sora lyne,angry,synth,medieval,Sigrid,Pop,0.72,Vocals
kael vorn,sad,bass,medieval,Jovanotti,Pop / World Music,0.77,Vocals
nyx aura,happy,drums,70s,Ven'nus,Alternative Pop,0.66,Vocals
dante cross,angry,synth,90s,Mishima,Indie Rock,0.63,Vocals
taro vale,sad,trumpet,2010s,Ezra Collective,Jazz / Afrobeat,0.74,Drums
mina rose,angry,piano,70s,Mushkaa,Urban Pop,0.68,Vocals
kiro blaze,chill,guitar,90s,Lildami,Urban Hip Hop,0.74,Vocals
nova tide,happy,bass,medieval,Midnight Generation,Funk / Disco,0.81,Synth
luma skye,happy,synth,2000s,Yami Safdie,Pop,0.55,Vocals
crimson echo,happy,drums,90s,Garbage,Alternative Rock,0.75,Vocals
crimson echo,angry,drums,90s,Garbage,Alternative Rock,0.75,Vocals
crimson echo,chill,violin,2010s,Garbage,Alternative Rock,0.75,Vocals
cora miel,happy,guitar,futuristic,Sadie Jean,Pop,0.52,Vocals
elara venn,angry,bass,80s,Judeline,Pop,0.61,Vocals
nyx aura,happy,violin,90s,Ven'nus,Alternative Pop,0.66,Vocals
lena pulse,sad,drums,70s,Delaporte,Electronic Pop,0.78,Synth
cora miel,angry,synth,2010s,Sadie Jean,Pop,0.52,Vocals
dax nova,happy,dj,80s,Doctor Prats,Pop Reggae Fusion,0.77,Guitar
mina rose,happy,bass,2000s,Mushkaa,Urban Pop,0.68,Vocals
kai rio,chill,synth,80s,The Tyets,Urban Pop Reggaeton,0.81,Vocals
ryo kaze,happy,violin,90s,Figa Flawas,Urban Pop Rap,0.79,Vocals
liora vale,sad,dj,2010s,Rigoberta Bandini,Indie Pop,0.68,Vocals
dax nova,sad,violin,2000s,Doctor Prats,Pop Reggae Fusion,0.77,Guitar
zelka tano,angry,trumpet,futuristic,Bomba Estéreo,Electro Cumbia,0.85,Vocals
zelka tano,happy,violin,80s,Bomba Estéreo,Electro Cumbia,0.85,Vocals
crimson echo,happy,drums,90s,Garbage,Alternative Rock,0.75,Vocals
nyx aura,happy,synth,futuristic,Ven'nus,Alternative Pop,0.66,Vocals
eira flux,sad,guitar,2010s,Zahara,Indie Pop,0.58,Vocals
dante cross,sad,piano,70s,Mishima,Indie Rock,0.63,Vocals
elias storm,angry,dj,futuristic,Suede,Britpop,0.72,Vocals / Guitar
mono chrome,sad,violin,90s,The Hives,Garage Rock,0.9,Guitar
dust canyon,chill,piano,70s,The Black Crowes,Blues Rock,0.78,Guitar
suri lane,chill,synth,futuristic,Stay Homas,Indie Pop,0.62,Guitar / Vocals
suri lane,happy,dj,90s,Stay Homas,Indie Pop,0.62,Guitar / Vocals
noir signal,angry,violin,80s,Faithless,Electronic / Dance,0.88,Synth / DJ
kai rio,chill,synth,90s,The Tyets,Urban Pop Reggaeton,0.81,Vocals
ryo kaze,happy,guitar,90s,Figa Flawas,Urban Pop Rap,0.79,Vocals
